,,
Alert id,Chain id,TP/FP
,,
---MEV-ARBITRAGE-BOT-IDENTIFIED---,-,
,,
0xc28098f43197a4aad55ef57160791187c49d0604a9a1c51f8f056e10c144d204,1,TP
0x2b311c76e3bc46b1f1a564d1fd7bbec3f123e4fe23ac46f64b006b9f498a4f7d,1,TP
0xf06bce59a4e5027508e7158ba298c3766b752457da4575c30c087b962954aabb,1,TP
0x6ee978e69f70fc6b9d2fa950620b103c69bedd2dfb02da95d0af5b65944b1169,1,TP
0xe99b87db07a5a502ef79de527dd544d92890eb84e22010888defe45947dc2100,137,TP
0xb7a19cd194a2d629f1dc32bb62601c6bc261ac434f0616612b2e6be3dfaa096f,137,TP
0xca679ebe63ffa9b70029c7cd0838f56e4b8d1cad74a28f21c4055e6f712e7556,137,TP
0x0f716b0c95eeb9fc73de7c36cb75c825377d734b1fd00cc8698fc43106823416,137,TP
0xd7490dedbdc9340956c375c9d9dc21e568362c5b470c387cdc693c6cbbc49507,56,TP
0x8bde5e5b40701bba4e1d5c319747dc5e78e500f513e7194e7241701ac9e61d65,56,TP
0x937d24482d3086d6476bd0e9797c3e10305eab4355f59490a6dbd81a37b3a37f,56,TP
0xb24d1b4f7d572fd61ae170ab7d8ba63a1df961a6c46c2cca256d98c9d1709fec,56,TP
0x3dcb769fff7db647f14b762d6d7dc640805a86ade59e719d1c9df85b6b03c5a6,43114,TP
0x286a145005953dfd3deb2daad7a09ba3516b2745931549bfaaac24a760d8db6f,43114,TP
0x9d8a340a81e813c95f0f17dcdaf48f95bbb62b7d46171aebb4fa2138ab4d494d,43114,TP
0x4ac748e48c30507368459beea61950c35f85002170f3c9bdbc84676942780926,43114,TP
0xb87754b591a7be3e4de12b8713e337885558f8765506d24a14aaae415ea0ae1d,42161,TP
0xc9ef44ce32a279e5205b3c2ea245548f5cf7abde958899c5e79d5cf4b91a4a8a,42161,FP
0x7a5a0c4f29522f1f75820d8a1c4221fbf12d3b2291b0987fdfa6dfbe00b0b84a,42161,FP
0xf569c392cdb6858718166345ab9e7420c32b95a4b901e7d52108ddd9f840e451,42161,FP
0xe0efc791df15eb70e0e623b1b06b4e7c4412069841f6625bfa84b68f74092934,10,TP
0x2301843b5171872836da08057b7ff4629f82f9aae1a8aece9460512dbfc88549,10,TP
0x26503016e609d660c79f144ac4548801a343cbb35df4a13f56b2c12dd01b0d06,10,TP
0x864474a1c0f53cc19061e52b801ce4b8946f79f149ba7538f3a76441e62f82e1,10,TP
0x7019b189d64f167d3fb67bc411266cb0ae00aac077137ca30df8818fbb1d4bf8,250,TP
0x9d84e938e1d27e7299b2e41ba4134ab3945e51e6edc368dec38cfd37584481a7,250,TP
0xc9d3cb1c6ccc5fc60d99d7a6a571360fb5640d257eacee0ede4541f2651f5abc,250,TP
0xe0dd8fa4fe2e0f1aeb8efd675f811377ad119dfa26e485eee3b59ad483297643,250,TP
Precision,0.893,89.30%
,,
---MEV-SANDWICH-BOT-IDENTIFIED---,-,
,,
0x4b01df9fcac06b89702d109d459c0589b4d18efad9c3de6e642d61800ff37cfb,1,TP
0x1cb60132c5a667358428fa4fc366ea46f4ac49c3ec2807933ffb59d0a997a647,1,TP
0x46ea4b22f878c0106aa10dc0640550e447e3abe6039aedb63ce8919b82c55666,1,TP
0x4d54ec21ea19f927175d14d40b3e5251a85293a0c7a281cf0a577fdc6d76c791,1,TP
0x2dbff7fd6d3addd9caee82985a2f73530c0de17710064200a8b158288f4b0f95,137,TP
0x73eddd39d1aa5d90fec52a6ddc44aaa7ff972075fb1873102d85bc1596a10d66,137,TP
0x1396d81e74151759c792114d38f00e2a6d87cde39040d7f805f93c2a97450b9a,137,TP
0xd51141d59cfd4492944286622de66c3c51b98a5cedf4ed2a99361dad6e12237b,137,TP
0xcaa688b7cd0ed58bcd7770cc59144e617b2e99a4f3dcc53254da59b9c890b8d3,56,TP
0x64253d137f822877d5bd19db6cf0541ca04be3d4ff585b1676b74155c39e1a8e,56,TP
0x5e8860577f3549b553e1ee0cee727a76fff5b1de57ceda7edd74a4568056b6e5,56,TP
0xb7dedf9a5b3ae2ebc59e229054c54ad775329d43c065eee9b541014e9a3e2945,56,FP
0x53fd4c8306a5c34b82706fe6c06e623d5fb56e9bba750123d6ecc691bb1b1e96,43114,TP
0xd5d254e0709787c6e6d560f7f0eb099c5ee3fec5fa5d7bbaf6f6ce1e4e53b46b,43114,TP
0x4b7fd3b39c80c762758022a941814d80eae240bb41fa46dbeaacb8d35cc4b3f0,43114,TP
0xdd5c1f49392a9a499ce7517ac7da4b20fe9d0982ae4b9d8e59f15f64d6528d23,43114,TP
0x1644896a535f4f9313f71394b06bfb67ddaea95bfc8168efb2ed90072c5132c0,42161,TP
0xe79c1f3d1b1281ff6b1908f678c310aedc120998f4ff8e466a1a6ab61570a6ca,42161,TP
0x5765e390bf8aeeff1db4bdd8ce5d4ed0f5eb2962cd1f69083346a75eb0068e07,42161,TP
0xec97c1a6a135eb5141f5b1bc4222fa724ad2cdae966ef2fb94f2b972e265fc04,42161,TP
0xbecaf15af90d00a5bae9cfa685c5f9056f434c3ef86f63b001ef019ae2e0f102,10,TP
0xdd5bd6dfcef9c7142e1e8e8c1d0e2140c1c896b1e4ad703b11f4e85b3cc38783,10,FP
0x212faa6bb11dcf2cd4fb0437e7e08024577c707d84153b97ff8a0886068a1fb9,10,FP
0xfcd1cc9dc67cef1d3608a8e1d24ec30a40e798489c3561c2df52d8522e4f89b6,10,TP
0xbc5833e5dd065470394633c841a5af395bc3978055833afeb7c201861b70b1fa,250,TP
0x827228af5b8fa317416893d00c679546b6acf828d406abae9db886d5419b9e66,250,TP
0x255d700ab69b154bc8585c8060b32630371ed5b3a8eb8a1da1649577ba5dba7d,250,TP
0x9027d833873a7d72c72b5cb1ff036cb4c47abbb03a3e9a8eb415eacfa5b03e97,250,TP
Precision ,0.893,89.3
,,
---MEV-LIQUIDATION-BOT-IDENTIFIED---,-,
,,
0x00a5716ae883bdbbde859907dfb6738503e553c7e39b29d9e2a5f82cc496b75a,1,TP
0x40f1f8d34a0a8a5790dc376dd26dfe26755e7f8eef38375aa530c47df2cf4d06,1,TP
0x70ce3d104e4d331e7f60b88e56d461f0697e1098b5c52b694f507c109746eb68,1,TP
0xfa4b4070563753c71f5205258235966be1ccede9e56af4acf2b45e0f90e27721,1,TP
0x769bf0c52034ede84adc092e4f465fb2d337be135d342dd325a5aff4c510d766,137,TP
